symbol,cap,sector,ma_50,ma_100,ma_200,spot_price_comparison
AAOI,6999371264.0,Technology,42.816399999999994,35.8031,29.719050000000003,True
AAXJ,3567568128.0,Financial Services,99.4632,96.27470000000001,90.43269999999998,True
ACGL,36646977536.0,Financial Services,96.2308,93.41859999999998,92.001,True
ACWI,26754396160.0,Financial Services,144.8472,142.5102,136.53845,True
ACWX,8531703808.0,Financial Services,70.5558,68.3614,65.0882,True
ADI,172048023552.0,Technology,310.19440000000003,278.7483,257.18865,True
AEIS,12851191808.0,Industrials,263.2362,233.4245,188.06145,True
AEP,72091361280.0,Utilities,120.7004,119.85079999999999,113.59009999999998,True
AIQ,5848175104.0,Financial Services,51.124399999999994,50.9752,47.69995,True
AIRR,8829178880.0,Financial Services,111.258,104.42739999999999,95.27609999999999,True
ALM,5314449408.0,Basic Materials,11.702,9.4232,7.603803680981596,True
AMAT,295365771264.0,Technology,315.918,276.7639,227.94465,True
AMGN,207918399488.0,Healthcare,349.00980000000004,332.70829999999995,310.30835,True
APA,11239469056.0,Energy,26.3098,25.216099999999997,22.79185,True
ASML,548657922048.0,Technology,1314.9036,1178.2527,983.472,True
ASND,14859559936.0,Healthcare,219.1652,212.7961,197.15645,True
ASO,4015547904.0,Consumer Cyclical,56.398599999999995,52.6465,50.72839999999999,True
AUGO,7361060864.0,Basic Materials,63.955999999999996,50.566100000000006,42.74506329113924,True
AZN,315876769792.0,Healthcare,185.0936,136.1035,105.33955,True
BIIB,27597940736.0,Healthcare,181.80239999999998,171.7366,152.83625,True
BKR,64067338240.0,Energy,54.405,51.0802,46.695299999999996,True
BPOP,9206463488.0,Financial Services,133.3138,124.74310000000001,119.98010000000001,True
BTSG,7499048448.0,Healthcare,39.0916,36.1127,29.76825,True
CAMT,7858144256.0,Technology,138.8868,126.0754,105.54710000000001,True
CASY,25465354240.0,Consumer Cyclical,619.7098,583.4136,545.76895,True
CCEP,48571781120.0,Consumer Defensive,94.6032,92.4174,92.23145000000001,True
CELC,5011177472.0,Healthcare,106.32960000000001,93.7574,62.511449999999996,True
CENX,4793576960.0,Basic Materials,46.3701,38.24245,29.787425,True
CFLT,10979686400.0,Technology,30.4196,27.0966,24.3922,True
CGNX,8920056832.0,Technology,43.215599999999995,42.027,39.7783,True
CHRW,22210564096.0,Industrials,178.139,161.8706,136.49665000000002,True
CINF,26520025088.0,Financial Services,163.6508,162.405,156.69389999999999,True
CME,117366423552.0,Financial Services,287.7014,279.8,276.42555,True
COCO,3108124160.0,Consumer Defensive,54.5316,50.25599999999999,43.465999999999994,True
COGT,6312189952.0,Healthcare,37.6594,32.3598,21.26755,True
COHR,47399690240.0,Technology,210.1864,177.6846,135.9599,True
COKE,17274943488.0,Consumer Defensive,161.3646,153.6995,134.10735,True
COO,16684044288.0,Healthcare,82.316,78.0246,74.8461,True
CRUS,7298876416.0,Technology,130.50639999999999,126.92020000000001,118.16879999999999,True
CSCO,313795936256.0,Technology,77.8866,75.93350000000001,71.55149999999999,True
CSX,80277209088.0,Industrials,38.3098,36.9733,35.2219,True
DGRW,16158725120.0,Financial Services,91.4112,90.2116,87.70864999999999,True
DVY,27297296384.0,Financial Services,149.4164,145.1942,140.8058,True
EA,50316013568.0,Technology,202.7784,202.1107,182.04685,True
EMB,16804239360.0,Financial Services,96.7036,96.3975,94.5984,True
EMXC,15331837952.0,Financial Services,79.02019999999999,75.0142,69.28384999999999,True
ENSG,12542481408.0,Healthcare,187.50440000000003,183.99509999999998,170.53150000000002,True
ENTG,20582449152.0,Technology,112.2558,99.304,91.02395,True
ESGE,6123587584.0,Financial Services,47.1462,45.6546,42.8121,True
ESGU,15854897152.0,Financial Services,149.8938,148.7739,143.01775,True
ESLT,38530826240.0,Industrials,677.5239999999999,582.3123,518.1776,True
EUFN,4721887744.0,Financial Services,37.5462,35.9364,34.316,True
EVRG,19345956864.0,Utilities,76.64920000000001,76.5237,73.29915,True
EWBC,15259619328.0,Financial Services,115.9762,110.1846,105.9791,True
EXAS,19728275456.0,Healthcare,102.4624,90.18950000000001,70.9977,True
FANG,51276619776.0,Energy,158.3342,152.8603,147.57,True
FCFS,8698399744.0,Financial Services,172.18280000000001,164.7336,150.815,True
FER,52555239424.0,Industrials,68.8636,66.3886,60.0554,True
FITB,32946731008.0,Financial Services,50.512,46.8749,44.58415,True
FIVE,12326505472.0,Consumer Cyclical,199.3482,178.8818,156.98085,True
FLEX,24217569280.0,Technology,63.740199999999994,62.8177,56.60355,True
FORM,7728454656.0,Technology,76.8948,63.408500000000004,48.0583,True
FTAI,30581092352.0,Industrials,253.4008,211.3552,174.0977,True
FTSM,6254175744.0,Financial Services,60.011,60.006499999999996,59.98474999999999,True
GEHC,36532899840.0,Healthcare,82.3964,79.70599999999999,76.7599,True
GFS,27711846400.0,Technology,42.2358,38.8674,37.6221,True
GILD,186250248192.0,Healthcare,135.8716,128.8564,120.3681,True
GRID,3738091520.0,Financial Services,163.805,158.6536,149.602,True
GTX,3901319424.0,Consumer Cyclical,18.665399999999998,17.2365,14.64195,True
HAS,13900382208.0,Consumer Cyclical,91.15359999999998,84.5466,79.5012,True
HOLX,16843828224.0,Healthcare,74.9708,74.0715,69.5371,True
HSAI,3639546880.0,Consumer Cyclical,25.641399999999997,23.4752,23.293400000000002,True
HSIC,9867609088.0,Healthcare,77.9008,73.678,71.76145,True
HST,13549699072.0,Real Estate,18.9226,17.9893,17.123350000000002,True
HTHT,16863289344.0,Consumer Cyclical,50.488200000000006,46.499300000000005,40.826,True
HYMC,4627834880.0,Basic Materials,35.7452,22.523100000000003,13.341650000000001,True
IBB,8713395200.0,Financial Services,172.745,167.2997,150.27785,True
IBKR,123814641664.0,Financial Services,71.7832,69.4563,64.58925,True
IESC,10011229184.0,Industrials,447.4638,425.19229999999993,373.50065,True
IGF,9390620672.0,Financial Services,64.2578,63.02740000000001,61.33455,True
IGSB,21662400512.0,Financial Services,52.98179999999999,52.9709,52.8102,True
INCY,19909359616.0,Healthcare,102.34939999999999,99.6599,87.56290000000001,True
IONS,13275421696.0,Healthcare,81.33019999999999,78.186,61.767300000000006,True
IUSG,27086520320.0,Financial Services,167.51,167.0713,160.11635,True
IUSV,24977246208.0,Financial Services,105.293068,103.223634,99.569267,True
IXUS,53755023360.0,Financial Services,89.0868,86.4192,82.46244999999999,True
JAZZ,11724774400.0,Healthcare,169.7412,160.5805,138.81060000000002,True
JBHT,22097321984.0,Industrials,211.4084,190.41850000000002,166.62990000000002,True
JEPQ,34016147456.0,Financial Services,58.54679999999999,58.2997,56.513999999999996,True
KLAC,201680666624.0,Technology,1420.9142000000002,1291.5186,1099.02305,True
KLIC,3677412864.0,Technology,59.3068,50.4392,43.2918,True
KYMR,7207912448.0,Healthcare,78.9734,72.30069999999999,58.1222,True
LAMR,14134531072.0,Real Estate,130.1288,127.5439,125.09785,True
LASR,3706927872.0,Technology,46.3962,39.547200000000004,30.96855,True
LECO,15797465088.0,Industrials,265.9248,250.7916,237.06015,True
LFUS,9073660928.0,Technology,308.4218,281.17130000000003,260.6585,True
LITE,55924051968.0,Technology,457.9538,349.63309999999996,231.2448,True
LIVN,3837130240.0,Healthcare,64.85520000000001,60.6525,54.638549999999995,True
LRCX,288466108416.0,Technology,215.22459999999998,184.1196,142.95955,True
LSCC,13777126400.0,Technology,85.9108,78.09859999999999,67.83595,True
LSTR,5574051328.0,Industrials,151.7758,141.74620000000002,138.13935,True
MAR,87569596416.0,Consumer Cyclical,327.281,304.5557,285.90455,True
MBB,38966538240.0,Financial Services,95.69759999999998,95.5607,94.5429,True
MCHP,40211742720.0,Technology,73.5056,67.1132,66.8785,True
MKSI,16406815744.0,Technology,212.67440000000002,179.79870000000003,141.23395,True
MNST,79197339648.0,Consumer Defensive,79.985,75.4765,69.15075,True
MPWR,54737580032.0,Technology,1070.711,1020.6424000000001,900.25685,True
MRNA,20648318976.0,Healthcare,41.1013,33.64385,30.557325000000002,True
MTSI,19393595392.0,Technology,212.7014,185.43110000000001,158.1541,True
MU,464463921152.0,Technology,365.09020000000004,294.5755,209.36425,True
MYRG,4246116096.0,Industrials,248.09079999999997,233.1266,206.8364,True
NDSN,16298852352.0,Industrials,270.692,252.2643,234.8813,True
NOVT,5062568960.0,Technology,132.9204,123.1041,121.81875,True
NTRS,27465515008.0,Financial Services,145.2192,137.437,130.2548,True
NUVL,7364462592.0,Healthcare,103.41879999999999,101.17479999999999,89.68474999999998,True
NVMI,14245127168.0,Technology,416.2206,368.0426,314.08545,True
NXST,7497847808.0,Communication Services,217.78300000000002,205.5359,196.72775000000001,True
ODFL,43440201728.0,Industrials,179.0858,159.81529999999998,157.772,True
ON,26750117888.0,Technology,62.3152,56.54730000000001,53.87474999999999,True
ONB,9202703360.0,Financial Services,23.8766,22.559299999999997,22.177850000000003,True
OSIS,4722185728.0,Technology,274.2386,267.6808,247.8635,True
PAA,15062377472.0,Energy,19.198800000000002,18.0272,17.8725,True
PAAS,24570476544.0,Basic Materials,57.675,48.798,39.73665,True
PCAR,65437044736.0,Industrials,120.7426,110.87989999999999,103.98065000000001,True
PCVX,8897616896.0,Healthcare,51.7702,48.2712,40.92985,True
PDBC,5163317248.0,Financial Services,14.0668,13.8125,13.50475,True
PEP,228728668160.0,Consumer Defensive,153.4626,150.5166,144.6865,True
PFF,14121381888.0,Financial Services,31.5004,31.3041,31.20155,True
PFG,21053261824.0,Financial Services,92.0986,87.79410000000001,83.61215,True
PLXS,5224700416.0,Technology,179.4016,162.5023,148.6287,True
PPTA,4536101376.0,Basic Materials,29.782600000000002,27.1549,21.65535,True
PRAX,6989215744.0,Healthcare,306.2342,242.1227,144.22519999999997,True
PTGX,5891476480.0,Healthcare,84.59219999999999,83.3254,69.3172,True
QQQ,412173205504.0,Financial Services,615.7484,614.6956,587.1228,True
QQQM,73481093120.0,Financial Services,253.52259999999998,253.07670000000002,241.71265,True
QYLD,8323116544.0,Financial Services,17.708399999999997,17.5407,17.125049999999998,True
