symbol,cap,sector,ma_50,ma_100,ma_200,spot_price_comparison
AAPL,4119351787520.0,Technology,265.594,246.56789999999998,228.15,True
ACWI,23205079040.0,Financial Services,139.7344,136.5333,128.56619999999998,True
ACWX,6935353344.0,Financial Services,65.9474,64.3438,61.013450000000006,True
ADI,139063869440.0,Technology,242.2022,240.836,227.6747,True
ADSK,65489588224.0,Technology,305.0198,304.7574,292.9352,True
AKRO,4490347520.0,Healthcare,52.7826,50.2562,48.153850000000006,True
ALNY,60523982848.0,Healthcare,456.82599999999996,440.1896,357.72495000000004,True
AMAT,213500166144.0,Technology,230.3398,203.82209999999998,182.5764,True
AMGN,177639391232.0,Healthcare,311.9954,300.7505,296.72745,True
AMKR,10686172160.0,Technology,33.004999999999995,28.651500000000002,23.945549999999997,True
APA,9613517824.0,Energy,23.961399999999998,22.6102,20.50485,True
APGE,4208477696.0,Healthcare,56.94299999999999,47.3322,42.61024999999999,True
APP,233859301376.0,Technology,610.5264,541.3593,431.90835,True
ARGX,55121448960.0,Healthcare,846.5132000000001,762.6885000000001,673.8519,True
ARQT,3821359872.0,Healthcare,23.989,19.9404,17.1296,True
ARWR,8494543872.0,Healthcare,41.513400000000004,31.868,23.55165,True
ASML,426155704320.0,Technology,1027.0652,900.2783000000001,812.7302000000001,True
ASND,12380167168.0,Healthcare,205.25580000000002,197.0197,179.56780000000003,True
ATAT,5950807040.0,Consumer Cyclical,38.341,37.576,33.568200000000004,True
AVGO,1833439592448.0,Technology,355.5366,333.97790000000003,275.22925000000004,True
AXSM,7522574336.0,Healthcare,134.28820000000002,123.73729999999999,117.45665,True
AZN,279606263808.0,Healthcare,85.669,81.2444,76.4337,True
BBIO,14029272064.0,Healthcare,61.582800000000006,55.4987,46.11200000000001,True
BIIB,26597122048.0,Healthcare,157.9048,146.7793,138.45385,True
BKR,48549273600.0,Energy,48.051,46.4193,42.95625,True
BTSG,6454808576.0,Healthcare,32.1516,27.7735,23.97225,True
CASY,21082892288.0,Consumer Cyclical,548.622,535.4035,493.95125,True
CDTX,5587911168.0,Healthcare,137.5504,101.2409,63.887100000000004,True
CELC,4887554560.0,Healthcare,73.7422,59.4845,35.2541,True
CHRW,18573527040.0,Industrials,142.31140000000002,131.44899999999998,113.65455,True
CINF,25359439872.0,Financial Services,160.58700000000002,156.4993,150.13365,True
CME,97674813440.0,Financial Services,271.35360000000003,271.2689,270.00230000000005,True
CNTA,4020536576.0,Healthcare,24.971885999999998,21.571343,17.6600215,True
COGT,5522888192.0,Healthcare,23.516399999999997,17.8339,12.1375,True
COHR,28248023040.0,Technology,134.6216,117.7775,95.72155,True
COKE,14624202752.0,Consumer Defensive,139.6522,127.9608,125.71605,True
COLB,6091291648.0,Financial Services,26.4366,25.968399999999995,24.95115,True
COMM,4247088640.0,Technology,16.6304,15.2893,10.44,True
CORT,9057231872.0,Healthcare,78.3412,75.171,72.04974999999999,True
CRDO,30178805760.0,Technology,154.79059999999998,140.8517,100.33295,True
CRNX,4428565504.0,Healthcare,43.24320000000001,37.3833,34.61005,True
CRUS,6318664704.0,Technology,123.6706,117.68379999999999,108.94120000000001,True
CSCO,308066844672.0,Technology,72.49560000000001,70.3104,66.35015,True
CSX,67595571200.0,Industrials,35.4338,34.8303,32.71425,True
CVCO,4626266624.0,Consumer Cyclical,557.2392000000001,524.9735,502.35645000000005,True
CYTK,7813296640.0,Healthcare,61.5718,51.6013,44.5837,True
DBX,8247165440.0,Technology,29.527399999999997,29.1432,28.3911,True
DGRW,16452230144.0,Financial Services,88.9276,87.9691,84.15944999999999,True
DVY,24830842880.0,Financial Services,140.8684,139.8898,135.6669,True
EA,50858905600.0,Technology,200.92759999999998,183.6475,164.71765,True
EMB,14916796416.0,Financial Services,95.9468,94.915,92.71334999999999,True
ESGU,15280627712.0,Financial Services,147.1556,143.901,135.01375,True
EXAS,19148617728.0,Healthcare,71.4928,60.213699999999996,55.066,True
EXEL,11893520384.0,Healthcare,40.6082,39.916199999999996,39.856750000000005,True
EXPE,30823698432.0,Consumer Cyclical,233.6548,219.1751,193.8565,True
FANG,46112387072.0,Energy,145.8948,144.1749,143.39005,True
FER,47610249216.0,Industrials,62.7758,58.6936,53.475950000000005,True
FIBK,3519115776.0,Financial Services,31.771400000000003,31.444699999999997,29.71915,True
FIVE,9538415616.0,Consumer Cyclical,155.13459999999998,149.0091,122.7157,True
FLNC,3147611904.0,Utilities,17.621599999999997,12.9213,9.12985,True
FOX,27492034560.0,Communication Services,56.434000000000005,54.6845,52.126000000000005,True
FOXA,30882824192.0,Communication Services,62.852,60.468,57.0417,True
FROG,7662915584.0,Technology,53.1246,49.4779,43.47665,True
FTAI,18157459456.0,Industrials,168.15599999999998,157.7342,135.1363,True
GEHC,39034044416.0,Healthcare,75.7886,75.1291,74.7085,True
GH,12665761792.0,Healthcare,83.7216,69.33070000000001,57.04455,True
GLBE,6901062144.0,Consumer Cyclical,36.226000000000006,35.2173,35.163000000000004,True
GOOG,3886863351808.0,Technology,275.2732,245.0385,206.49165000000002,True
GOOGL,3876967677952.0,Technology,274.689,244.4026,205.36835,True
GRAL,3530989056.0,Healthcare,82.95559999999999,59.528400000000005,47.84839999999999,True
GSAT,8685894656.0,Communication Services,50.74980000000001,39.7603,30.512549999999997,True
HOLX,16711204864.0,Healthcare,72.12719999999999,69.3823,65.289,True
