symbol,cap,sector,ma_50,ma_100,ma_200,spot_price_comparison
ABVX,10047591424.0,Healthcare,104.56779999999999,91.0208,48.9922,True
ADI,140111937536.0,Technology,245.06219999999996,242.4513,228.5517,True
AEIS,8456933376.0,Industrials,201.22883000000002,177.757115,145.6959075,True
AIRR,6600365568.0,Financial Services,97.4276,94.3074,84.3533,True
AMAT,215141253120.0,Technology,235.32299999999998,207.00010000000003,184.60595,True
AMKR,11627979776.0,Technology,34.3608,29.6175,24.421349999999997,True
APA,9203789824.0,Energy,24.09,22.9082,20.5786,True
APGE,4198059520.0,Healthcare,59.8688,48.796499999999995,43.46719999999999,True
APP,242379685888.0,Technology,611.1256,555.2633000000001,438.4133,True
ARQT,3608245760.0,Healthcare,24.893399999999996,20.5502,17.475550000000002,True
ARWR,9787252736.0,Healthcare,44.333600000000004,33.98609999999999,24.5495,True
ASML,434983436288.0,Technology,1038.809306,915.958753,820.3422265000002,True
ASND,12662192128.0,Healthcare,205.82780000000002,198.3642,180.6052,True
ATAT,5789861888.0,Consumer Cyclical,38.6756,37.791,33.7943,True
AVGO,1911994056704.0,Technology,361.55660000000006,338.8793,279.15255,True
AXSM,7498376192.0,Healthcare,136.6158,125.2834,117.79109999999999,True
AZN,279947345920.0,Healthcare,86.7476,82.1009,76.74905,True
BBIO,14114050048.0,Healthcare,63.2878,56.57629999999999,46.8709,True
BIIB,25334016000.0,Healthcare,160.63139999999999,148.8024,139.15715,True
BTSG,6472843776.0,Healthcare,32.6746,28.385099999999998,24.28935,True
CAMT,5395749888.0,Technology,113.5625,101.78585,86.14957499999998,True
CDTX,5581317632.0,Healthcare,147.5944,107.69460000000001,67.85945,True
CEG,118276571136.0,Utilities,365.2736,345.42690000000005,303.6033,True
CELC,4659441152.0,Healthcare,77.98360000000001,63.0299,37.079249999999995,True
CENX,3016798976.0,Basic Materials,29.988000000000003,26.8302,22.34045,True
CHRW,18875959296.0,Industrials,144.2176,133.7718,114.78225,True
CNTA,3653566720.0,Healthcare,25.383200000000002,22.083500000000004,17.91575,True
COGT,5702007808.0,Healthcare,25.541348,18.919774,12.781837000000001,True
COHR,30836789248.0,Technology,141.3648,121.5546,98.00704999999999,True
COKE,13997749248.0,Consumer Defensive,143.31400000000002,129.8809,126.20195,True
COLB,6322579456.0,Financial Services,26.663200000000003,26.142999999999997,24.995050000000003,True
COMM,4552825856.0,Technology,16.9924,15.7829,10.737449999999999,True
CORT,9165049856.0,Healthcare,78.41,75.7251,72.49285,True
CRNX,4680026624.0,Healthcare,43.6432,38.0546,34.8888,True
CRUS,6431443456.0,Technology,123.65280000000001,118.5298,109.26774999999999,True
CSCO,313223020544.0,Technology,73.4112,70.7608,66.66175,True
CSX,69178384384.0,Industrials,35.566,34.9151,32.80815,True
CVCO,4798960128.0,Consumer Cyclical,557.2982,531.3484,503.4609,True
DVY,25306959872.0,Financial Services,140.926398,140.15239899999997,135.7793495,True
