symbol,cap,sector,spot_price_comparison,ma_50,ma_100,ma_200
ABCB,5113149440.0,Financial Services,True,71.73859999999999,67.7906,64.19215
ABVX,6342991360.0,Healthcare,True,78.05199999999999,43.920999999999985,25.33135
ACLX,4597543424.0,Healthcare,True,73.8527,69.51844999999999,68.19302499999999
ACT,5391329792.0,Financial Services,True,37.5369,36.66085,35.272675
ACWI,22271512576.0,Financial Services,True,134.2885,130.39785,124.24957500000001
ACWX,6736536064.0,Financial Services,True,63.1875,61.73805,58.259625
ADI,122002145280.0,Technology,True,240.496958,235.506979,221.7046395
ADSK,68587499520.0,Technology,True,307.16881,303.01240499999994,291.9786525
AEIS,6588362240.0,Industrials,True,155.672,142.151,125.64569999999999
AEP,61394440192.0,Utilities,True,110.8564,107.17519999999999,104.42085000000002
AIQ,6118820864.0,Financial Services,True,46.32280000000001,44.3251,41.33815
AIRR,5238945280.0,Financial Services,True,91.65460000000002,85.92389999999999,79.82705
ALNY,59659960320.0,Healthcare,True,439.17102400000005,373.76481199999995,313.312306
AMAT,174982807552.0,Technology,True,180.0284,178.6323,170.06525000000002
AMBA,3655233280.0,Technology,True,75.16819999999998,68.3259,65.49605
AMD,271388147712.0,Technology,True,166.08576599999998,148.37598300000002,128.0362415
AMKR,7367334400.0,Technology,True,25.2088,22.793599999999998,22.072700000000005
AMZN,2365477617664.0,Consumer Cyclical,True,226.66462400000003,220.818412,214.599556
ANGL,3056387328.0,Financial Services,True,29.37755,29.119875,28.8884375
APA,8816609280.0,Energy,True,21.9216,20.299400000000002,20.28325
APLD,7040320000.0,Technology,True,17.027199999999997,13.3951,10.242350000000002
APP,229271846912.0,Technology,True,512.3122,438.06339999999994,380.2232
ARGX,48637239296.0,Healthcare,True,700.4973,632.91775,626.511725
ARM,162249392128.0,Technology,True,143.524224,143.45801199999997,136.473556
ARWR,4933250560.0,Healthcare,True,24.395927999999998,20.374064,18.558832
ASML,402006507520.0,Technology,True,805.5972,785.9379999999999,746.87025
ASND,12314849280.0,Healthcare,True,192.21939999999998,181.0174,163.66195
ASO,3571879680.0,Consumer Cyclical,True,50.975246,48.732023,48.536161500000006
ASTS,20375744512.0,Technology,True,48.3284,43.9451,34.30475
AVAV,18914320384.0,Industrials,True,265.132,239.42919999999998,195.6026
AVGO,1593980354560.0,Technology,True,318.3294,288.0266,246.93854999999996
AVT,4362597376.0,Technology,True,53.18159999999999,52.9062,51.49570000000001
AXSM,6002899456.0,Healthcare,True,114.526808,110.54080400000001,109.704052
AZN,264171143168.0,Healthcare,True,77.9,74.398,72.53115
BANF,4226285312.0,Financial Services,True,128.6762,127.30309999999997,121.48369999999998
BBIO,10007670784.0,Healthcare,True,50.143400000000014,45.27409999999998,39.302550000000004
BIDU,48789999616.0,Communication Services,True,105.01319999999998,96.05400000000002,92.27075
BILI,11986877440.0,Technology,True,24.564,22.606800000000003,20.625249999999998
BKR,48141856768.0,Energy,True,45.711099999999995,42.20435,42.170125
BND,367249817600.0,Financial Services,True,73.90857600000001,73.325988,72.962594
BNDX,107848843264.0,Financial Services,True,49.348976,49.303788000000004,49.180694
BPOP,8522862080.0,Financial Services,True,121.77204799999998,114.98452400000002,105.095312
BSCQ,4241200640.0,Financial Services,True,19.55257,19.531985,19.5044425
BSCR,3981209600.0,Financial Services,True,19.703400000000002,19.6605,19.5964
BSY,16308153344.0,Technology,True,54.1311,52.96355,48.718575
BTSG,5073219584.0,Healthcare,True,24.406466,23.371432999999996,21.193566500000003
BTSGU,4867592704.0,Healthcare,True,84.6678,81.6269,75.09779999999999
BZ,5158929408.0,Industrials,True,22.506386000000003,20.353192999999997,18.0606965
CAMT,5283405824.0,Technology,True,90.94273600000001,84.569268,79.94793399999999
CARG,3826757120.0,Communication Services,True,34.532900000000005,33.62375,33.374475
CASY,20976928768.0,Consumer Cyclical,True,527.0154699999999,506.83753500000006,464.02281750000003
CATY,3355867392.0,Financial Services,True,48.084799999999994,46.7051,45.685100000000006
CDNS,95386238976.0,Technology,True,352.7632,331.1375,305.68735
CEG,116103970816.0,Utilities,True,327.24519999999995,317.15409999999997,283.6907
CELH,15182196736.0,Consumer Defensive,True,55.038700000000006,48.622449999999986,39.241075
CG,22942943232.0,Financial Services,True,63.9724,57.2904,51.94049999999999
CGNX,7892932608.0,Technology,True,43.1637,37.38565,35.079525
CGON,3013685760.0,Healthcare,True,30.579999999999995,28.357300000000006,27.38885
CHRW,16218640384.0,Industrials,True,124.6984,110.764,104.72224999999999
