symbol,cap,sector,ma_50,ma_100,ma_200,spot_price_comparison
AAPL,4025226362880.0,Technology,255.9264,237.17,225.37579999999997,True
ABVX,8339501056.0,Healthcare,91.71860000000001,70.99940000000001,38.8291,True
AEP,64922611712.0,Utilities,114.99780000000001,112.1813,108.09615,True
AMD,400576905216.0,Technology,208.0482,184.574,145.79045,True
AMGN,181327986688.0,Healthcare,294.9146,294.0831,293.5455,True
AMZN,2508748750848.0,Consumer Cyclical,228.6988,227.10690000000002,215.0877,True
APA,8794062848.0,Energy,23.5224,21.8111,20.3352,True
ARGX,55537991680.0,Healthcare,799.3424,712.2625999999999,655.2802,True
ARQT,3061987072.0,Healthcare,20.5804,17.8253,15.94495,True
ARWR,5704506368.0,Healthcare,35.8478,27.245299999999997,21.417849999999998,True
ATAT,5445964288.0,Consumer Cyclical,38.4026,36.9077,32.84695,True
AXSM,7042141696.0,Healthcare,126.29260000000001,118.0532,115.56209999999999,True
AZN,276258226176.0,Healthcare,82.1308,78.4166,75.1623,True
BBIO,12648064000.0,Healthcare,56.486599999999996,51.979,43.53345,True
BIIB,24579964928.0,Healthcare,148.36540000000002,140.3915,135.90265,True
BKR,48085491712.0,Energy,47.5074,45.0146,42.79625,True
BTSG,5771273728.0,Healthcare,30.08,25.9666,23.115099999999998,True
CDTX,5520712192.0,Healthcare,95.6006,77.5094,50.037699999999994,True
CELC,3932107520.0,Healthcare,61.60940000000001,47.5579,29.2386,True
CHRW,18051360768.0,Industrials,135.7642,123.3259,109.65439999999998,True
CINF,25609441280.0,Financial Services,157.8236,154.0776,148.17715,True
COGT,4777860608.0,Healthcare,16.5026,13.8462,10.1001,True
COLB,5821095936.0,Financial Services,26.089199999999995,25.5631,24.971999999999998,True
COMM,3717587200.0,Technology,16.0444,13.8301,9.509649999999999,True
CRWD,133163630592.0,Technology,499.74440000000004,477.3279,444.893,True
CSCO,308549025792.0,Technology,69.8666,69.13910000000001,65.3683,True
CVCO,4461008896.0,Consumer Cyclical,551.732,506.7675,499.2173,True
CYTK,7904909824.0,Healthcare,57.03900000000001,47.317,43.177699999999994,True
