symbol,cap,sector,ma_50,ma_100,ma_200,spot_price_comparison
AAPL,4012396249088.0,Technology,248.2484,229.9545,223.30200000000002,True
AAXJ,3192590848.0,Financial Services,90.9808,87.3375,81.05154999999999,True
ABCB,4912253952.0,Financial Services,73.521,69.9385,65.21915,True
ABVX,7737400832.0,Healthcare,87.31039999999999,61.298,33.9538,True
ACLX,5005166592.0,Healthcare,80.0728,74.3351,69.3388,True
ACT,5268900352.0,Financial Services,37.260999999999996,36.735299999999995,35.6109,True
ACWI,23092400128.0,Financial Services,137.5264,133.5158,126.38045,True
ACWX,6871146496.0,Financial Services,64.8616,63.0071,59.62115,True
ADI,116079247360.0,Technology,243.93939999999998,238.9854,224.0817,True
ADSK,64636469248.0,Technology,312.4854,305.2086,293.28405,True
AEIS,7646973952.0,Industrials,173.2182,156.6837,132.99595000000002,True
AEP,64365981696.0,Utilities,113.0084,110.2878,106.95635,True
AIQ,6200981504.0,Financial Services,48.962799999999994,46.4114,42.5537,True
AIRR,5720620032.0,Financial Services,95.2892,90.0026,81.76280000000001,True
ALNY,59777273856.0,Healthcare,460.3674,408.6325,335.97794999999996,True
AMAT,185706889216.0,Technology,198.23940000000002,190.6063,175.58739999999997,True
AMBA,3638383872.0,Technology,81.9346,73.1771,66.4158,True
AMD,415642714112.0,Technology,191.2688,172.607,139.4143,True
AMKR,7979389952.0,Technology,28.4662,25.2269,22.6047,True
AMZN,2604584927232.0,Consumer Cyclical,225.49099999999999,223.80649999999997,214.45235,True
ANGL,3125838080.0,Financial Services,29.5304,29.3009,28.9676,True
APGE,3314604032.0,Healthcare,43.919000000000004,41.748099999999994,39.47385,True
APLD,9693912064.0,Technology,24.765600000000003,18.2757,12.69,True
ARGX,50064809984.0,Healthcare,768.0954,681.6237000000001,644.58625,True
ARM,179839385600.0,Technology,153.3592,150.7392,139.62255000000002,True
ARQT,3099955712.0,Healthcare,18.9248,16.7897,15.418299999999999,True
ARWR,5860737536.0,Healthcare,32.6112,24.8073,20.413,True
ASML,410558627840.0,Technology,924.9096000000001,840.0543999999999,776.73285,True
ASND,12207338496.0,Healthcare,200.9524,189.3225,170.6219,True
ATAT,5405726720.0,Consumer Cyclical,37.9648,36.054,32.1805,True
AVAV,18470422528.0,Industrials,315.2768,280.4441,217.51239999999999,True
AVGO,1736608972800.0,Technology,339.23839999999996,310.4224,258.92595,True
AXSM,6736201728.0,Healthcare,123.025,114.60940000000001,113.71674999999999,True
AZN,255429214208.0,Healthcare,81.15220000000001,77.057,74.3287,True
BBIO,11933644800.0,Healthcare,53.8588,49.72730000000001,42.145,True
BIIB,22618234880.0,Healthcare,144.3544,137.487,135.22385,True
BILI,12658510848.0,Technology,26.6608,24.623900000000003,21.681449999999998,True
BKR,47769722880.0,Energy,46.973800000000004,44.0978,42.661750000000005,True
BLTE,3452428544.0,Healthcare,76.172,69.5955,65.275,True
BND,372437975040.0,Financial Services,74.4212,73.7962,73.2478,True
BNDX,109794377728.0,Financial Services,49.504,49.414300000000004,49.228100000000005,True
BOTZ,3066112256.0,Financial Services,35.549,34.1832,32.46315,True
BSCQ,4238324480.0,Financial Services,19.5674,19.5474,19.516750000000002,True
BSCR,4150824192.0,Financial Services,19.7288,19.6903,19.6231,True
BTSG,5960643584.0,Healthcare,28.312800000000003,24.8811,22.56065,True
CAMT,5635208192.0,Technology,103.15540000000001,94.76369999999999,83.42219999999999,True
CARG,3485366016.0,Consumer Cyclical,35.83,34.2437,33.235600000000005,True
CATY,3140294912.0,Financial Services,48.3284,47.368,45.6249,True
CDNS,92191760384.0,Technology,346.23940000000005,337.18010000000004,309.0892,True
CEG,117776900096.0,Utilities,345.64,333.2786,296.76335,True
CELC,3273535744.0,Healthcare,56.282799999999995,40.848600000000005,25.850450000000002,True
CELH,15536890880.0,Consumer Defensive,59.206199999999995,53.3715,42.687749999999994,True
CGON,3299232768.0,Healthcare,37.224000000000004,31.650100000000002,28.71065,True
CHRW,18184857600.0,Industrials,130.9734,117.5441,107.3723,True
CIBR,11176270848.0,Financial Services,75.592,74.4939,70.75765,True
CIGI,7897232384.0,Real Estate,161.088,151.5213,138.40994999999998,True
CINF,24154750976.0,Financial Services,156.0696,152.43679999999998,147.00815,True
CNTA,3334447616.0,Healthcare,21.673999999999996,18.403,16.473349999999996,True
