symbol,cap,sector,ma_50,ma_100,ma_200,spot_price_comparison
AAPL,4112850092032.0,Technology,267.8552,249.8472,229.01405000000003,True
ABVX,9492329472.0,Healthcare,105.42299999999999,91.59110000000001,49.581900000000005,True
ACWI,24212244480.0,Financial Services,140.1284,137.1249,129.09155,True
ACWX,7326438400.0,Financial Services,66.15220000000001,64.62899999999999,61.29675,True
ADI,138060267520.0,Technology,245.8152,242.9637,228.82905,True
AEIS,8117544960.0,Industrials,201.9698,178.48,146.1894,True
AIQ,5898993152.0,Financial Services,50.856399999999994,48.5295,43.9704,True
AIRR,6487842816.0,Financial Services,97.49700000000001,94.4552,84.49629999999999,True
AKRO,4498580480.0,Healthcare,53.061400000000006,50.2851,48.19315,True
AMAT,206418804736.0,Technology,236.0364,207.72259999999997,185.11905000000002,True
AMKR,10953141248.0,Technology,34.6542,29.845399999999998,24.538,True
APA,9198469120.0,Energy,24.131,22.9755,20.60615,True
APGE,4230959616.0,Healthcare,60.6176,49.1612,43.6998,True
APP,226653650944.0,Technology,610.8628,558.3471,440.16335,True
ARGX,53662015488.0,Healthcare,860.9246,778.6646999999998,680.3741,True
ARQT,3553129984.0,Healthcare,25.049,20.691399999999998,17.5567,True
ARWR,9689780224.0,Healthcare,45.044,34.5281,24.8054,True
ASML,418655633408.0,Technology,1039.8347999999999,919.6039000000002,822.26095,True
ASND,13293131776.0,Healthcare,206.21759999999998,198.8674,180.9418,True
ATAT,5931382784.0,Consumer Cyclical,38.7976,37.8557,33.859649999999995,True
AXSM,7470396928.0,Healthcare,137.1806,125.7016,117.89994999999999,True
AZN,278583083008.0,Healthcare,86.87119999999999,82.2692,76.81995,True
BBIO,14316945408.0,Healthcare,63.725199999999994,56.8659,47.0754,True
BIIB,25534996480.0,Healthcare,161.0046,149.2317,139.3273,True
BKR,46240223232.0,Energy,47.8688,46.7592,43.0366,True
BND,382585110528.0,Financial Services,74.4956,74.188,73.5274,True
BNDX,114061451264.0,Financial Services,49.58240000000001,49.4627,49.2818,True
BTSG,6586465792.0,Healthcare,32.8304,28.5375,24.3759,True
CASY,20065849344.0,Consumer Cyclical,547.6486,536.9444,497.33979999999997,True
CDTX,5594757632.0,Healthcare,150.0392,109.2535,68.8439,True
CELC,4866733056.0,Healthcare,79.1002,63.9419,37.558,True
CHRW,18556397568.0,Industrials,144.6644,134.33700000000002,115.0716,True
CINF,25914130432.0,Financial Services,161.0794,157.1554,150.7304,True
CME,98637602816.0,Financial Services,271.5304,271.0107,270.54,True
COGT,5995830784.0,Healthcare,26.088800000000003,19.2173,12.9575,True
COKE,14424085504.0,Consumer Defensive,144.2452,130.39690000000002,126.3307,True
COLB,6320417792.0,Financial Services,26.729399999999995,26.191600000000005,25.0079,True
COMM,4308590592.0,Technology,17.0686,15.8951,10.803199999999999,True
CORT,9255511040.0,Healthcare,78.4602,75.92110000000001,72.63355,True
CRNX,4789151744.0,Healthcare,43.8226,38.2496,34.97515,True
CRUS,6248752128.0,Technology,123.5702,118.72560000000001,109.3683,True
CSCO,307395166208.0,Technology,73.601,70.8526,66.7317,True
CSX,69606678528.0,Industrials,35.6024,34.939299999999996,32.83505,True
CVCO,4770202112.0,Consumer Cyclical,557.4592,533.1224,503.85574999999994,True
DGRW,16176909312.0,Financial Services,89.01559999999999,88.20039999999999,84.33255,True
DVY,25233457152.0,Financial Services,140.969,140.2083,135.8178,True
EA,50816507904.0,Technology,201.298,186.18920000000003,166.517,True
EMB,15749608448.0,Financial Services,96.03659999999999,95.1143,92.834,True
EMXC,12951398400.0,Financial Services,70.9474,68.0153,63.2433,True
ENSG,10100873216.0,Healthcare,180.4892,172.81629999999998,155.56705,True
ENTG,14026032128.0,Technology,86.772,85.6933,84.08905,True
ESGU,15045774336.0,Financial Services,147.585,144.5259,135.51375,True
EXAS,19232933888.0,Healthcare,76.1336,62.7842,56.3624,True
EXPE,32087396352.0,Consumer Cyclical,238.9016,223.3851,195.6839,True
FANG,45559967744.0,Energy,147.25539999999998,144.9953,143.48205,True
FER,48136605696.0,Industrials,63.61639999999999,59.3683,54.0266,True
FIBK,3651998208.0,Financial Services,32.063,31.660099999999996,29.826,True
FIVE,10101248000.0,Consumer Cyclical,157.4412,150.9422,124.97635,True
