symbol,cap,sector,spot_price_comparison,ma_50,ma_100,ma_200
AAON,7187347456.0,Industrials,True,79.76000015258789,73.31930004119873,67.5146834564209
ABCB,3339681024.0,Financial Services,True,47.94139999389648,47.50530006408692,43.02245008468628
ABNB,105222217728.0,Consumer Cyclical,True,154.63689971923827,144.0641497039795,138.51049995422363
ACGL,34586521600.0,Financial Services,True,86.19119995117188,83.09179992675782,80.708450050354
ACT,4961018368.0,Financial Services,True,28.40300003051758,28.26650001525879,27.822150039672852
APGE,3741772800.0,Healthcare,True,46.61380012512207,34.714000129699706,28.702988890962228
APP,22948577280.0,Technology,True,55.85047386169433,47.733836822509765,41.23796840667725
BECN,6256782848.0,Industrials,True,87.14059967041015,84.77769981384277,81.83424991607666
BKNG,123968282624.0,Consumer Cyclical,True,3582.8737890625,3439.8834912109373,3195.2169384765625
BPMC,5808496128.0,Healthcare,True,86.15220016479492,81.0598999786377,67.47792501449585
BPOP,6364854784.0,Financial Services,True,84.43320053100587,80.49310020446778,72.63465015411377
BRKR,12932814848.0,Healthcare,True,82.53,74.96569999694825,70.72689987182618
CART,9937747968.0,Consumer Cyclical,True,30.554799919128417,27.591449909210205,27.392744293786528
CEG,58250117120.0,Utilities,True,148.03260055541992,133.17870002746582,118.50340000152588
CINF,19456071680.0,Financial Services,True,114.12259979248047,108.61159996032715,105.711549949646
CLSK,4200958208.0,Financial Services,True,14.830499954223633,11.445199990272522,8.140625
COIN,64231948288.0,Financial Services,True,187.32003036499023,160.37881530761717,119.8680576324463
COOP,5035741184.0,Financial Services,True,71.21450019836426,66.55375007629395,60.40122497558594
CPRT,55687876608.0,Industrials,True,52.3166000366211,50.45020004272461,47.44777507781983
CRNX,3647880192.0,Healthcare,True,39.734500045776365,36.434550018310546,29.336200022697447
CROX,8699684864.0,Consumer Cyclical,True,117.47460006713867,107.0240998840332,103.3121000289917
CRVL,4495116800.0,Financial Services,True,242.86719970703126,233.58260025024413,218.44154975891112
CSGP,39452307456.0,Real Estate,True,86.85689971923829,85.1926498413086,83.47962520599366
CTAS,69695070208.0,Industrials,True,622.5509985351563,592.9662005615235,545.302650756836
CVCO,3330802176.0,Consumer Cyclical,True,361.64099975585935,333.4594987487793,304.4367002105713
CWST,5734015488.0,Industrials,True,91.00450012207031,86.96435012817383,84.12422508239746
DOCU,12232463360.0,Technology,True,56.11540008544922,53.57220008850098,50.49390001296997
DXCM,53470928896.0,Healthcare,True,125.7599998474121,120.60849983215331,114.31159999847412
EBAY,27340040192.0,Consumer Cyclical,True,46.12629989624023,43.885149841308596,43.84347478866577
ESGR,4723489792.0,Financial Services,True,287.8399987792969,282.183699798584,265.1438499450684
EWBC,11077773312.0,Financial Services,True,73.55969985961914,70.0571499633789,62.39862491607666
FANG,35362844672.0,Energy,True,173.25629943847656,163.89394943237303,155.95277462005615
FCFS,5753061376.0,Financial Services,True,117.6504020690918,114.06070091247558,105.26645038604737
FCNCA,23573757952.0,Financial Services,True,1527.5567114257813,1477.3954541015626,1415.373328857422
FFIN,4683693568.0,Financial Services,True,31.167799911499024,29.608899898529053,28.724849891662597
FITB,25434896384.0,Financial Services,True,34.81630012512207,32.91645002365112,29.550725002288818
FTAI,6746555904.0,Industrials,True,56.618700103759764,50.22235000610352,42.06479994773865
FTRE,3588515840.0,Healthcare,True,35.25590003967285,33.60104991912842,31.676402987266073
FYBR,6022565888.0,Communication Services,True,23.64249984741211,23.123049850463868,19.81217493534088
GGAL,4867650048.0,Financial Services,True,21.77910011291504,18.716850051879884,17.01922504425049
GOOG,1885998940160.0,Communication Services,True,144.95669921875,141.19194931030273,135.6769248199463
GOOGL,1882413989888.0,Communication Services,True,143.7256005859375,139.84830032348634,134.60680027008056
HOOD,17604630528.0,Financial Services,True,14.523499927520753,12.560599970817567,11.540449969768524
HWC,4001723136.0,Financial Services,True,44.00580017089844,43.933900108337404,41.546650104522705
