symbol,cap,sector,spot_price_comparison,ma_50,ma_100,ma_200
ASTS,19937939456.0,Technology,True,39.48669979095459,32.33589981079101,28.390624828338623
ATAT,5010624000.0,Consumer Cyclical,True,32.6211999130249,29.89652498245239,28.572687463760374
BILI,10385278976.0,Communication Services,True,20.613599967956542,19.69805003166199,19.652924957275392
BZ,8956864512.0,Communication Services,True,18.16240001678467,17.541150007247925,16.101075019836426
CAKE,3393163264.0,Consumer Cyclical,True,59.37939994812012,54.08520008087158,51.386599922180174
CAR,7302029824.0,Industrials,True,147.01340026855468,111.67480014801025,100.89780004501343
CCEP,45563453440.0,Consumer Defensive,True,92.50299896240234,89.52809928894042,83.86549980163574
CNXC,3907556096.0,Technology,True,56.21100006103516,52.393150100708006,49.1128750038147
COOP,10834560000.0,Financial Services,True,142.16299926757813,127.44614974975586,113.00732482910156
CSGP,38391717888.0,Real Estate,True,79.93500015258789,79.05044998168945,77.14677494049073
DLTR,23983343616.0,Consumer Defensive,True,97.75800018310547,85.7023999786377,78.07479991912842
DRS,12645308416.0,Industrials,True,44.52120018005371,39.65800004959107,36.29045008659363
EBAY,37756948480.0,Consumer Cyclical,True,75.63959976196288,71.08089996337891,67.89629991531372
FIVE,7673433088.0,Consumer Cyclical,True,123.62579940795898,99.01399974822998,97.00674997329712
FLEX,20105222144.0,Technology,True,46.45540008544922,40.184300136566165,39.503500032424924
FRHC,10364556288.0,Financial Services,True,156.43300048828124,149.76485054016112,135.43907642364502
FUTU,23514216448.0,Financial Services,True,122.36840042114258,110.75425003051758,102.61792507171631
GDS,7006690304.0,Technology,True,29.424699935913086,28.394199943542482,26.23909990310669
HOOD,90077847552.0,Financial Services,True,80.86139923095703,62.60579956054688,51.189799814224244
HWKN,3330731264.0,Basic Materials,True,140.1826007080078,126.17720024108887,123.57615005493165
KTOS,9897259008.0,Industrials,True,43.132000045776365,37.450800018310545,32.51315001487732
LECO,12593854464.0,Industrials,True,207.46239990234375,198.72990020751953,197.46315032958984
MGNI,3182053120.0,Communication Services,True,19.5282000541687,15.832350044250488,15.825175018310548
MRUS,4777680896.0,Healthcare,True,53.30219993591309,48.56380001068115,47.10437501907349
NXST,5780750336.0,Communication Services,True,174.79059997558593,169.21259994506835,165.9774493408203
NXT,9546431488.0,Technology,True,59.20909973144531,50.84124988555908,45.33084991455078
RGTI,5209232896.0,Technology,True,12.653199977874756,10.862399973869323,9.029029985964298
RKLB,23559512064.0,Industrials,True,32.834399948120115,26.30954999923706,23.89800003528595
RYAAY,33167998976.0,Industrials,True,56.2510001373291,51.18300006866455,48.004200019836425
RYTM,5794502656.0,Healthcare,True,68.69359985351562,62.68470016479492,59.40325010299683
SMCI,30855489536.0,Technology,True,45.6936003112793,40.70830020904541,38.60515015602112
SOFI,23831560192.0,Financial Services,True,16.37299991607666,14.228513975143432,14.196306977272034
STRL,7698569728.0,Industrials,True,213.3939990234375,173.31009941101075,169.33654949188232
STX,32418267136.0,Technology,True,135.42159942626952,118.15709983825684,105.040625
SYM,31886163968.0,Industrials,True,36.34189998626709,28.963249950408937,28.588074960708617
TIGO,7104251904.0,Communication Services,True,37.305799865722655,33.9056999206543,30.12259998321533
TTMI,4721221632.0,Technology,True,36.858400192260746,29.144250106811523,26.433925037384032
ULTA,22836858880.0,Consumer Cyclical,True,458.1806005859375,411.42220123291014,401.45530090332034
URBN,6991195136.0,Consumer Cyclical,True,69.5442000579834,60.436600036621094,54.151599922180175
VEON,3673219072.0,Communication Services,True,48.43300010681153,45.99090000152588,41.790449981689456
VRNA,8918535168.0,Healthcare,True,89.75159973144531,76.83159973144531,61.2678248500824
WW,3505584384.0,Consumer Cyclical,True,9.990106044113636,5.222542022019625,3.1866710119694472
