symbol,cap,sector,ma_50,ma_100,ma_200,spot_price_comparison
AAXJ,3013765120.0,Financial Services,94.87559999999999,93.78099999999999,87.475,True
ACMR,3770619392.0,Technology,42.269800000000004,39.6268,32.506099999999996,True
ACWI,24996980736.0,Financial Services,142.3902,140.7083,133.52360000000002,True
ACWX,7751325696.0,Financial Services,67.819,66.7167,63.453599999999994,True
ADI,152223678464.0,Technology,280.30920000000003,260.2358,242.7964,True
AEIS,9638687744.0,Industrials,225.4238,205.76429999999996,167.6469,True
AEP,64111439872.0,Utilities,117.54860000000001,116.4349,111.55824999999999,True
AIRR,7648017920.0,Financial Services,103.0896,99.7395,90.51455,True
AKAM,13976507392.0,Technology,89.6622,83.4254,80.58395,True
ALHC,4508066816.0,Healthcare,20.1886,18.5838,16.75,True
AMAT,255832293376.0,Technology,277.355,245.4827,208.03060000000002,True
AMGN,184095768576.0,Healthcare,333.154,314.6495,300.98705,True
AMKR,11946858496.0,Technology,43.748400000000004,37.2127,28.9975,True
AMZN,2558168662016.0,Consumer Cyclical,232.5368,230.58810000000003,221.78464999999997,True
APA,9366814720.0,Energy,25.1846,24.374699999999997,21.59505,True
ARWR,9420560384.0,Healthcare,63.1884,49.6479,33.2538,True
ASML,551556284416.0,Technology,1167.9286,1076.3147999999999,907.9267499999999,True
ASND,13814292480.0,Healthcare,212.3286,207.2089,190.782,True
ASO,3668138240.0,Consumer Cyclical,52.42359999999999,50.6347,48.6986,True
ASTS,33215866880.0,Technology,81.8368,73.48280000000001,56.45655,True
BIDU,51947466752.0,Communication Services,133.87380000000002,130.0935,109.20094999999999,True
BILI,14240823296.0,Technology,27.7808,27.756999999999998,24.2892,True
BKR,55298809856.0,Energy,49.295,48.42360000000001,44.2558,True
BPOP,8903093248.0,Financial Services,122.8536,121.3879,115.2463,True
BTSG,7082434560.0,Healthcare,37.2122,33.7049,27.686700000000002,True
CAMT,6706129408.0,Technology,120.5062,114.96519999999998,96.58605,True
CASY,22481094656.0,Consumer Cyclical,577.2638,561.4704,525.0367,True
CELC,5063001088.0,Healthcare,103.59020000000001,82.8968,52.8745,True
CENX,4231191552.0,Basic Materials,37.8962,33.4503,26.33775,True
