symbol,cap,sector,spot_price_comparison,ma_50,ma_100,ma_200
ABVX,5416154112.0,Healthcare,True,18.746699953079222,12.57726999282837,10.309949991703034
ACAD,4023382528.0,Healthcare,True,22.209999885559082,19.28110004425049,18.31775007247925
ALNY,54994849792.0,Healthcare,True,319.8381982421875,289.0847979736328,273.55319908142087
APP,133666258944.0,Communication Services,True,364.95080139160154,330.01410095214845,322.84670059204103
ASND,11140006912.0,Healthcare,True,171.41530029296874,164.7170751953125,149.2611625289917
AVAV,13303798784.0,Industrials,True,230.08400146484374,187.02540092468263,182.10370029449462
AVGO,1400317149184.0,Technology,True,268.67299896240235,246.42639923095703,224.8198491668701
AZN,231264796672.0,Healthcare,True,71.72139953613281,71.0825,70.47755006790162
BBIO,9066817536.0,Healthcare,True,42.38059982299805,38.45354984283447,33.98847502708435
BSY,17565759488.0,Technology,True,53.2227001953125,48.1851501083374,47.731225147247315
BZ,8847166464.0,Communication Services,True,18.395,17.71394998550415,16.192325005531313
CDNS,99426148352.0,Technology,True,313.99160034179687,296.58190002441404,292.92054962158204
CEG,111228559360.0,Utilities,True,314.32140197753904,273.53105056762695,267.6951750946045
COOP,11463759872.0,Financial Services,True,147.42199951171875,131.96474983215333,115.7289249420166
CORT,7562548224.0,Healthcare,True,71.67939956665039,70.35274978637695,63.65172492980957
CRDO,19692843008.0,Technology,True,88.15919921875,67.22799964904785,63.36354969024658
CSGP,41022029824.0,Real Estate,True,82.95940002441407,80.44734992980958,77.93257495880127
CTAS,90706313216.0,Industrials,True,221.59,213.70810028076173,209.79635009765624
CVLT,8291734016.0,Technology,True,177.08240020751953,170.2508282470703,166.8640143585205
DASH,109334421504.0,Consumer Cyclical,True,230.9975,209.38845031738282,193.40427520751953
DLTR,24150300672.0,Consumer Defensive,True,102.10140029907227,89.37730003356934,79.8924499130249
EA,39975575552.0,Communication Services,True,151.43180084228516,148.34320037841798,146.814400100708
EBAY,42437021696.0,Consumer Cyclical,True,77.75519973754882,72.48019981384277,68.60559991836548
ENSG,8940068864.0,Healthcare,True,148.9378012084961,146.14570022583007,139.35929977416993
ESLT,22707531776.0,Industrials,True,441.45080139160154,421.45640045166016,372.9078752136231
EVRG,16824255488.0,Utilities,True,68.17120056152343,67.76420013427735,65.58059999465942
FFIV,18575306752.0,Technology,True,294.9806005859375,280.84855072021486,271.07942573547365
FIVE,7517068800.0,Consumer Cyclical,True,128.64719924926757,103.43539966583252,98.84649991989136
FOXA,24450744320.0,Communication Services,True,55.470200042724606,53.643299980163576,51.31700004577637
FRHC,11506653184.0,Financial Services,True,157.4445001220703,152.27860054016114,139.00866877514383
FSV,8963472384.0,Real Estate,True,180.1287008666992,177.50424942016602,176.8226996612549
GDS,6694544384.0,Technology,True,30.7110998916626,28.31044994354248,26.813824911117553
