symbol,cap,sector,spot_price_comparison,ma_50,ma_100,ma_200
ABNB,105745260544.0,Consumer Cyclical,True,147.77109924316406,138.4272496032715,135.4250499343872
AMAT,168181874688.0,Technology,True,177.9707989501953,163.03789901733398,152.39454933166505
AMD,315321384960.0,Technology,True,172.24735931396484,146.22637954711914,128.46688968658447
AMKR,8263200768.0,Technology,True,31.735400161743165,29.355300102233887,27.66715003967285
APGE,3757053184.0,Healthcare,True,37.778999938964844,28.746250009536745,25.961886223204836
APP,20662669312.0,Technology,True,48.979073715209964,43.99903686523437,38.5595433807373
AXON,23212087296.0,Industrials,True,269.22370086669923,249.0378498840332,223.39957527160644
AZPN,12777375744.0,Technology,True,196.48649993896484,193.1797496032715,188.57272506713866
BCPC,5003305472.0,Basic Materials,True,146.60889923095704,137.28854965209962,134.4730247116089
BL,4218433280.0,Technology,True,59.86615982055664,58.428079757690426,56.37648994445801
BRKR,12863979520.0,Healthcare,True,77.3115998840332,70.77379997253418,69.51134994506836
CEG,53080834048.0,Utilities,True,133.40759994506837,125.70469970703125,113.24434986114503
CELH,21986134016.0,Consumer Defensive,True,63.10289970397949,58.11758331298828,55.91695831298828
COIN,64631701504.0,Financial Services,True,162.415431060791,139.14931549072264,108.10490772247314
CPRT,53236150272.0,Industrials,True,50.07419998168945,48.89930004119873,46.66127504348755
DOCU,12056578048.0,Technology,True,56.04540008544922,51.32330009460449,50.38425003051758
DRS,6019479552.0,Industrials,True,20.454799995422363,19.804500064849854,18.310250015258788
DXCM,51963564032.0,Healthcare,True,123.49139984130859,114.87759994506835,113.44610008239746
ERIE,21376634880.0,Financial Services,True,357.7189013671875,328.3267514038086,290.62942604064943
EXEL,6985589760.0,Healthcare,True,21.970399932861326,21.83459997177124,21.212350006103517
FITB,24922232832.0,Financial Services,True,34.44990020751953,31.414850025177003,28.9264750289917
FIVE,11304589312.0,Consumer Cyclical,True,193.41940063476562,190.5304005432129,186.3120500946045
FRPT,5353958912.0,Consumer Defensive,True,92.7011001586914,81.51404983520507,74.88667484283447
FTRE,3514704128.0,Healthcare,True,33.52930000305176,32.25774991989136,31.168777092643406
FYBR,6069271552.0,Communication Services,True,23.65489986419678,22.389249877929686,19.329399943351746
GEHC,40048644096.0,Healthcare,True,81.50440002441407,75.99969985961914,74.85355010986328
GGAL,4417016832.0,Financial Services,True,19.663300113677977,17.10235005378723,16.29257504940033
HOOD,14967871488.0,Financial Services,True,12.89510000228882,11.424100003242494,10.971349985599518
ICLR,28054933504.0,Healthcare,True,285.37430084228515,273.79215103149414,259.026075592041
ITRI,4113840896.0,Technology,True,78.40830001831054,72.39514980316162,70.08422498703003
LAMR,11977445376.0,Real Estate,True,107.7823501586914,102.32327491760253,96.70008731842042
LECO,14227860480.0,Industrials,True,231.7704006958008,213.20740020751953,201.31550010681153
LIN,228902715392.0,Basic Materials,True,424.17119873046875,411.28969940185544,393.94594985961913
LLYVA,3716765440.0,Communication Services,True,36.44130043029785,34.96245029449463,34.12387015721569
LLYVK,3715208960.0,Communication Services,True,37.29250389099121,35.8413521194458,34.81523482004801
LNW,9194028032.0,Consumer Cyclical,True,87.14680007934571,84.65209976196289,77.5834997177124
MCHP,49180708864.0,Technology,True,85.74074981689454,83.79057510375976,83.2211873626709
MDGL,5344541184.0,Healthcare,True,229.7298013305664,205.92060104370117,202.56250045776366
MMYT,6877093376.0,Consumer Cyclical,True,54.25399955749512,48.34049976348877,40.930399913787845
MORN,13286334464.0,Financial Services,True,283.87907775878904,275.5044395446777,247.8406697845459
MSTR,29116325888.0,Technology,True,721.7938006591797,613.772801208496,483.0369999694824
MU,103866892288.0,Technology,True,87.01739959716797,81.16840003967285,74.26170011520385
NTAP,21042198528.0,Technology,True,89.93559951782227,85.70359939575195,80.76119976043701
NTNX,15753111552.0,Technology,True,56.117000122070316,48.672400093078615,40.040525093078614
NTRA,10958788608.0,Healthcare,True,71.25060028076172,61.303200225830075,55.51485019683838
NVDA,2235389968384.0,Technology,True,676.5077935791015,570.9455966186523,504.46854873657225
NVMI,4927835136.0,Technology,True,152.9749008178711,135.03375015258788,125.17387512207031
NXPI,64936701952.0,Technology,True,228.1913003540039,214.7657501220703,208.17912490844728
OKTA,18153367552.0,Technology,True,88.94056030273437,81.70668014526368,79.03746505737304
PEGA,5400965120.0,Technology,True,54.03930000305176,50.89955001831055,49.46372501373291
PI,3078099712.0,Technology,True,100.08880035400391,87.97920013427735,80.78272493362427
PPC,7833047040.0,Consumer Defensive,True,29.01359992980957,27.426299934387206,25.553149976730346
QCOM,189996204032.0,Technology,True,151.11359954833983,138.83659980773925,127.24934997558594
RDNT,3314644480.0,Healthcare,True,38.69740020751953,35.37455018997193,33.170175046920775
SFM,6370789376.0,Consumer Defensive,True,53.755900115966796,48.83165004730225,43.64522495269775
SMCI,65251192832.0,Technology,True,655.2626611328125,464.4664302062988,366.66666496276855
STLD,21064665088.0,Basic Materials,True,121.77350082397462,117.05405021667481,110.39752529144288
STRL,3419105280.0,Industrials,True,86.12130004882812,78.76374980926514,72.34647495269775
TCOM,29277579264.0,Consumer Cyclical,True,39.662699966430665,36.91415000915527,36.640925035476684
TXRH,10404459520.0,Consumer Cyclical,True,132.88054916381836,121.10737464904786,113.54403747558594
WDC,20325517312.0,Technology,True,56.539599914550784,51.45389991760254,46.503549900054935
WFRD,8096134144.0,Energy,True,98.0538005065918,95.61910026550294,87.72000007629394
WING,10207975424.0,Consumer Cyclical,True,300.035,261.9841506958008,220.53762550354003
