symbol,cap,sector,spot_price_comparison,ma_50,ma_100,ma_200
AAPL,3674405863424.0,Technology,True,240.50659942626953,234.8093994140625,222.96204986572266
ACAD,3334495744.0,Healthcare,True,17.939400024414063,16.778000078201295,16.51810003757477
AFRM,25663938560.0,Technology,True,64.6787995147705,56.98414974212646,44.49569980621338
ALKS,5836216320.0,Healthcare,True,30.53559986114502,29.270100021362303,27.436200017929078
APP,173465616384.0,Technology,True,354.99890075683595,278.56509986877444,181.46262504577638
ATAT,4237926144.0,Consumer Cyclical,True,27.13069995880127,26.69954999923706,22.376725010871887
AVPT,3645214208.0,Technology,True,18.04360004425049,15.844500017166137,12.977800002098084
AXON,52113289216.0,Industrials,True,629.9746020507813,559.1189010620117,439.8115512084961
AXSM,6355843584.0,Healthcare,True,98.88959945678711,95.20254959106445,88.65239986419678
BHF,3643206144.0,Financial Services,True,52.02300025939942,50.15720008850098,47.485650081634525
BNTX,28728045568.0,Healthcare,True,117.39739944458007,115.56820007324218,103.19909999847413
BTSG,3839478272.0,Healthcare,True,19.63199989318848,18.200099964141845,14.999574975967407
CART,13093939200.0,Consumer Cyclical,True,45.23940032958984,44.21915031433105,39.13225010871887
CASY,15731939328.0,Consumer Cyclical,True,412.05760070800784,403.7411001586914,382.4998498535156
CCEP,39126929408.0,Consumer Defensive,True,77.64460037231446,77.57200027465821,76.4026501083374
CORT,7619237888.0,Healthcare,True,58.59800018310547,54.39820007324219,43.388149967193606
COST,475793129472.0,Consumer Defensive,True,973.5390014648438,940.686201171875,891.4560015869141
CRVL,6025963520.0,Financial Services,True,114.93453353881836,112.31903350830078,102.55716674804688
CRWD,111268536320.0,Technology,True,377.12170043945315,346.453349609375,328.26930000305174
CSCO,258361655296.0,Technology,True,60.08080001831055,57.95590007781983,52.819100074768066
CTSH,44861669376.0,Technology,True,80.5936001586914,79.02219985961914,75.14765003204346
CVCO,4313478656.0,Consumer Cyclical,True,480.78819885253904,465.1274987792969,421.60944915771483
CVLT,8135596544.0,Technology,True,164.23340087890625,161.34870071411132,144.75075038909912
CYBR,20372711424.0,Technology,True,346.9745983886719,321.0505990600586,289.77727516174315
DASH,88637202432.0,Communication Services,True,179.68000061035156,168.869599609375,142.87264965057372
EXLS,8193720320.0,Technology,True,47.430000152587894,44.544300117492675,38.63375007629394
EXPE,26078081024.0,Consumer Cyclical,True,183.97139953613282,173.88729919433592,149.90234962463379
FFIV,17882589184.0,Technology,True,270.78280151367187,250.42740066528322,216.1920002746582
GTLB,11008808960.0,Technology,True,63.90990028381348,60.24765029907226,55.07847501754761
HOOD,57739702272.0,Financial Services,True,45.31960029602051,36.874600143432616,28.77862506866455
HQY,9766020096.0,Healthcare,True,102.37789962768555,96.26144966125489,87.4780750656128
IBKR,98920841216.0,Financial Services,True,196.55399963378906,178.26689971923827,150.41429988861083
IDCC,5503824384.0,Technology,True,190.91979949951173,176.88649993896485,149.64955001831055
KC,4941812736.0,Technology,True,11.41729998588562,7.644350004196167,5.160575003623962
LAUR,3030275328.0,Consumer Defensive,True,18.79480007171631,17.90890003204346,16.539700002670287
LLYVA,7363226112.0,Communication Services,True,69.91339981079102,63.66059978485107,50.61719997406006
LLYVK,7363225600.0,Communication Services,True,71.52359970092773,65.26724994659423,51.95942499160767
LOPE,5354083328.0,Consumer Defensive,True,169.67600006103515,158.38339950561524,150.70124977111817
LPLA,27921571840.0,Financial Services,True,343.2172009277344,308.8680000305176,277.61545013427735
NFLX,452823547904.0,Communication Services,True,931.5677966308593,852.5072967529297,752.5811981201172
NTNX,18880886784.0,Technology,True,66.10830009460449,65.48995010375977,61.304950046539304
NTRA,22891120640.0,Healthcare,True,168.31120056152344,151.92480026245119,131.2628002166748
NWS,18015682560.0,Communication Services,True,31.65439998626709,30.51510009765625,29.1394500541687
NWSA,18015703040.0,Communication Services,True,28.32040008544922,27.87350008010864,27.37345004081726
PLMR,3367111424.0,Financial Services,True,107.84579940795898,103.14479972839355,95.55559978485107
PRVA,3028825088.0,Healthcare,True,21.6857999420166,20.467899951934815,19.449249992370607
PTCT,3996622848.0,Healthcare,True,46.78670028686523,43.57175003051758,38.76695002555847
QFIN,7040836608.0,Financial Services,True,39.015600051879886,35.76935003280639,28.531525020599364
ROKU,14384865280.0,Communication Services,True,80.80080017089844,77.30780014038086,69.0654500579834
SANM,4870534656.0,Technology,True,81.25920013427735,76.7856999206543,72.26310001373291
SATS,8371461120.0,Technology,True,25.226400032043458,25.019700088500976,21.98230004310608
SBUX,127848923136.0,Consumer Cyclical,True,98.9368000793457,98.28439994812011,90.18175006866456
SFM,17710458880.0,Consumer Defensive,True,147.50159927368165,137.33419952392578,112.13469974517822
SLAB,4853724160.0,Technology,True,132.0267999267578,121.53779998779297,118.65740013122559
SLM,6612872192.0,Financial Services,True,28.06840000152588,25.757199974060057,23.513749980926512
SMPL,3807896064.0,Consumer Defensive,True,37.81220008850098,36.57584987640381,35.8882248878479
TEAM,82032197632.0,Technology,True,272.35500091552734,239.49320053100587,203.2451008605957
TMUS,309200322560.0,Communication Services,True,229.60960021972656,226.77920028686523,204.3712001800537
TTWO,36845305856.0,Communication Services,True,188.3989993286133,177.0550991821289,164.8962496948242
UPST,7723660288.0,Financial Services,True,69.00890029907227,62.11820011138916,45.60972508430481
ZM,26082723840.0,Technology,True,83.49920028686523,79.33630012512207,70.45667518615723
ZS,32636477440.0,Technology,True,196.38980041503908,193.2897001647949,187.0983502960205
