symbol,cap,sector,ma_50,ma_100,ma_200,spot_price_comparison
ACGL,34465832960.0,Financial Services,96.4532,94.9266,92.20270000000001,True
ACLX,6711728128.0,Healthcare,95.0208,83.82589999999999,79.51675,True
ACWI,29172494336.0,Financial Services,143.467,142.55380000000002,138.3219,True
ACWX,8036216832.0,Financial Services,70.8194,69.0023,66.11195,True
AEIS,12545035264.0,Industrials,305.5884,261.70669999999996,210.91119999999998,True
AEP,71761436672.0,Utilities,127.527,122.8031,116.89415000000001,True
AIRR,8572564992.0,Financial Services,114.32220000000001,107.545,99.17725,True
AKAM,17096783872.0,Technology,103.7524,95.93130000000001,86.29865,True
ALKS,5806083584.0,Healthcare,31.4148,30.424400000000002,29.7287,True
APA,14850692096.0,Energy,31.979400000000002,28.4746,24.989300000000004,True
ASND,14071436288.0,Healthcare,227.53920000000002,218.05939999999998,204.26645,True
ASO,3824172544.0,Consumer Cyclical,57.1092,53.9992,52.16105,True
AUGO,7325140992.0,Basic Materials,74.2924,60.1668,47.033867403314915,True
AVT,5064861696.0,Technology,62.1064,55.299400000000006,54.048550000000006,True
AZN,157733601280.0,Healthcare,194.24059999999997,161.1609,119.26875,True
BKR,59669688320.0,Energy,59.935199999999995,54.0821,49.2562,True
BPOP,8906919936.0,Financial Services,135.861,128.3937,123.16985000000001,True
BTSG,8341968896.0,Healthcare,40.703599999999994,38.481300000000005,31.905250000000002,True
CASY,27556298752.0,Consumer Cyclical,668.2738,617.1911,572.40805,True
CELC,5444159488.0,Healthcare,109.9658,104.76100000000001,74.04155,True
CENX,6192803328.0,Basic Materials,51.852199999999996,43.6289,33.96465,True
CFLT,11083508736.0,Technology,30.5766,27.993999999999996,24.894381443298972,True
CGON,5697687552.0,Healthcare,58.9642,51.133900000000004,41.6651,True
CHRD,8071639552.0,Energy,114.586,103.67360000000001,102.484,True
CNTA,5335175168.0,Healthcare,26.923799999999996,26.3225,22.5804,True
CRUS,7508101120.0,Technology,138.0774,129.52370000000002,122.28665000000001,True
CSCO,312215470080.0,Technology,79.226,77.8073,73.2569,True
CSX,76651061248.0,Industrials,40.158,37.959300000000006,36.2048,True
DGRW,16242022400.0,Financial Services,90.88300000000001,90.2552,88.60520000000001,True
DNTH,3303698176.0,Healthcare,63.258199999999995,52.4475,39.89765,True
DVY,22370340864.0,Financial Services,152.4426,147.5507,143.00050000000002,True
EQIX,98291253248.0,Real Estate,919.565,844.2052,820.07385,True
ERAS,5535340032.0,Healthcare,13.317,8.7136,5.246849999999999,True
EUFN,4393951744.0,Financial Services,36.3302,36.1208,34.6368,True
EVRG,19076560896.0,Utilities,80.42020000000001,77.4949,75.07005,True
EXAS,20026081280.0,Healthcare,103.0856,96.55310000000001,74.74429292929294,True
EXC,50459164672.0,Utilities,47.32059999999999,45.9055,45.2609,True
FANG,54689472512.0,Energy,176.29760000000002,163.313,152.93835,True
FCFS,8808294400.0,Financial Services,185.069,173.03940000000003,158.1893,True
FIVE,13002566656.0,Consumer Cyclical,213.28439999999998,194.7397,169.16459999999998,True
FLEX,25363916800.0,Technology,64.2912,63.306900000000006,59.11024999999999,True
FORM,8038010368.0,Technology,90.7564,74.7675,55.22495,True
GLNG,5627403264.0,Energy,45.87519999999999,41.8479,41.33435,True
GRID,3512201472.0,Financial Services,168.6308,161.1721,153.5926,True
HOLX,16888476672.0,Healthcare,75.2674,74.9997,71.2183,True
HST,13164530688.0,Real Estate,19.2882,18.6264,17.547449999999998,True
HTHT,16019453952.0,Consumer Cyclical,51.4466,49.389900000000004,42.58635,True
IBB,8192088064.0,Financial Services,170.79059999999998,170.03040000000001,155.18455,True
IESC,9615259648.0,Industrials,469.03340000000003,440.275,396.1935,True
IGF,10285145088.0,Financial Services,66.66239999999999,64.2414,62.252849999999995,True
INTC,251648098304.0,Technology,46.1646,42.8749,35.29255,True
IUSV,24150738944.0,Financial Services,104.8358,103.78040000000001,100.80015000000002,True
IXUS,57731575808.0,Financial Services,89.4552,87.171,83.72795,True
JAZZ,11508698112.0,Healthcare,177.12320000000003,171.50690000000003,147.4474,True
KLAC,199301152768.0,Technology,1475.0372,1366.2894999999999,1174.9849000000002,True
LAUR,4790488576.0,Consumer Defensive,34.056799999999996,33.29560000000001,30.07575,True
LFUS,8700822528.0,Technology,336.76919999999996,298.27819999999997,274.0956,True
LGND,3980044032.0,Healthcare,198.1184,197.5595,176.56645,True
LITE,59039232000.0,Technology,608.999,467.43629999999996,301.70765,True
LNT,18732722176.0,Utilities,69.9,68.1324,66.5791,True
LNTH,4954307584.0,Healthcare,73.1824,67.6085,64.8865,True
LSTR,5560768512.0,Industrials,154.0252,147.6406,139.75574999999998,True
LUNR,3823347968.0,Industrials,18.366400000000002,15.8765,13.26465,True
MAR,87956471808.0,Consumer Cyclical,331.1626,318.0098,292.92895,True
MBB,39799943168.0,Financial Services,95.5228,95.43220000000001,94.86945,True
MEOH,4629543424.0,Basic Materials,51.924,45.8542,40.794250000000005,True
MPWR,54937993216.0,Technology,1120.4186,1034.3223,943.8430000000001,True
MTSI,17875351552.0,Technology,230.7968,204.8613,169.67775,True
MYRG,4439488000.0,Industrials,267.30600000000004,246.4787,219.3931,True
NTRS,26434033664.0,Financial Services,143.6528,139.99020000000002,133.84099999999998,True
ODFL,41401491456.0,Industrials,191.016,171.9832,160.9336,True
OS,5900146176.0,Technology,23.639400000000002,21.9738,21.79885,True
PAA,15620471808.0,Energy,20.8274,19.2718,18.4077,True
PCAR,62223831040.0,Industrials,121.4842,115.3641,106.5962,True
PCVX,8402049536.0,Healthcare,56.4196,51.4354,43.548199999999994,True
PDBC,5486080000.0,Financial Services,15.5658,14.593800000000002,13.95575,True
PEP,214623404032.0,Consumer Defensive,159.2288,152.4441,147.63205,True
PFG,19794415616.0,Financial Services,91.64039999999999,89.59639999999999,84.85674999999999,True
PLXS,5554173952.0,Technology,197.0276,174.8515,156.2045,True
POWL,6651663872.0,Industrials,519.8574000000001,432.51939999999996,352.8429,True
PTGX,6622066688.0,Healthcare,90.62360000000001,88.4593,74.87305,True
RDVY,20775391232.0,Financial Services,70.87939999999999,70.1853,67.6816,True
REG,14080181248.0,Real Estate,75.7884,72.6445,71.946,True
REGN,79158239232.0,Healthcare,765.5012000000002,755.2803,662.7191,True
ROIV,20275810304.0,Healthcare,26.6166,24.077199999999998,18.90445,True
ROST,71151427584.0,Consumer Cyclical,202.4334,190.52829999999997,167.80135,True
RPRX,20808589312.0,Healthcare,44.97560000000001,42.1275,39.225550000000005,True
SATS,37007036416.0,Technology,113.79060000000001,104.4774,77.95474999999999,True
SCZ,13586823168.0,Financial Services,81.59060000000001,79.562,77.2545,True
SDVY,10709666816.0,Financial Services,40.7462,39.740300000000005,38.3739,True
SLAB,6892067328.0,Technology,194.13099999999997,164.3402,150.19525,True
