symbol,cap,sector,spot_price_comparison,ma_50,ma_100,ma_200
AAPL,3891743948800.0,Technology,True,241.72820000000004,224.1981,222.13510000000002
AAXJ,3220158208.0,Financial Services,True,89.4086,85.96269999999998,80.0065
ABVX,6911685120.0,Healthcare,True,82.8652,53.376499999999986,29.967
ACLX,4812169728.0,Healthcare,True,77.4726,72.4392,68.71430000000001
ACWI,23104391168.0,Financial Services,True,136.04520000000002,132.07219999999998,125.32979999999999
ACWX,6958955008.0,Financial Services,True,64.17320000000001,62.4392,58.974
ADI,122073341952.0,Technology,True,243.19799999999998,237.2949,223.0155
AEIS,7447435264.0,Industrials,True,164.6478,149.33509999999998,129.29475
AEP,63009517568.0,Utilities,True,111.99599999999998,108.86880000000002,105.8168
AIQ,6085806592.0,Financial Services,True,47.6414,45.4179,41.94565000000001
AIRR,5704806400.0,Financial Services,True,93.74240000000002,88.1258,80.84379999999999
ALNY,64388632576.0,Healthcare,True,456.8092,393.8316,325.7645
AMAT,181747367936.0,Technology,True,188.1446,184.68140000000005,173.07045
AMD,390391267328.0,Technology,True,177.52019999999996,160.62689999999998,133.63925
AMKR,7977777664.0,Technology,True,26.9632,24.039900000000006,22.322400000000002
ANGL,3135393536.0,Financial Services,True,29.4548,29.217200000000002,28.92625
APGE,3335104256.0,Healthcare,True,40.5664,40.224000000000004,39.00545
APLD,10040722432.0,Technology,True,21.444200000000002,16.2553,11.570599999999999
ARGX,51958525952.0,Healthcare,True,737.4306000000001,659.7144000000002,636.76965
ARM,181618507776.0,Technology,True,147.6446,147.2392,138.3303
ARWR,5318768128.0,Healthcare,True,29.010799999999996,22.751499999999997,19.50155
ASML,403938410496.0,Technology,True,870.2697999999999,813.5771,762.6817499999999
ASND,12425932800.0,Healthcare,True,199.37699999999998,186.52089999999995,167.58995000000002
AVGO,1640811986944.0,Technology,True,328.7654,300.4021000000001,252.98950000000002
AXSM,6567035904.0,Healthcare,True,119.13940000000001,112.51620000000001,111.64444999999999
AZN,259986014208.0,Healthcare,True,80.3052,76.1124,73.5737
BBIO,10754184192.0,Healthcare,True,52.076600000000006,47.710699999999996,40.84465
BIIB,21498097664.0,Healthcare,True,141.821,135.94,135.21
BILI,11528660992.0,Technology,True,25.6208,23.601000000000003,21.0838
