symbol,cap,sector,ma_50,ma_100,ma_200,spot_price_comparison
AAL,10350116864.0,Industrials,13.7102,13.0515,12.05185,True
ABVX,9527671808.0,Healthcare,110.79700000000001,95.90519999999998,54.2399,True
ADI,137219825664.0,Technology,252.2134,246.9016,230.93474999999998,True
AIRR,6697013248.0,Financial Services,97.96979999999999,95.5157,85.7094,True
ALHC,3831665664.0,Healthcare,18.0472,17.098399999999998,16.2992,True
AMAT,207748415488.0,Technology,242.43399999999997,213.4582,189.29765000000003,True
APGE,4281954816.0,Healthcare,65.3712,52.2158,45.41155,True
APP,245877735424.0,Technology,625.5274,584.6474,456.56649999999996,True
ARWR,9693237248.0,Healthcare,50.058,38.6626,26.832849999999997,True
ASML,412996632576.0,Technology,1049.9502,947.2621,836.15435,True
ATAT,5857847296.0,Consumer Cyclical,39.784,38.414500000000004,34.32875,True
BBIO,14579851264.0,Healthcare,67.02420000000001,59.1875,48.779,True
BTSG,6804691968.0,Healthcare,34.1218,29.8664,25.144699999999997,True
CENX,3669256448.0,Basic Materials,30.742600000000003,27.9894,23.079300000000003,True
CHRW,19486728192.0,Industrials,149.83640000000003,138.87449999999998,117.5933,True
COHR,29736640512.0,Technology,153.54319999999998,128.6077,103.09495000000001,True
CORT,8792683520.0,Healthcare,78.53960000000001,77.07719999999999,73.70375,True
CSX,68489396224.0,Industrials,35.723600000000005,35.0424,33.06045,True
DLTR,25603667968.0,Consumer Defensive,109.3334,105.7473,97.56259999999999,True
ESLT,26981752832.0,Industrials,492.7928,489.9422,451.8357,True
EWBC,15873251328.0,Financial Services,105.7564,105.37620000000001,99.09135,True
EXPE,33531287552.0,Consumer Cyclical,249.9554,231.5788,199.7355,True
FCNCA,27148306432.0,Financial Services,1888.5972,1883.9514000000001,1882.0489499999999,True
FIBK,3699662592.0,Financial Services,32.7282,32.1857,30.0924,True
FIVE,10390374400.0,Consumer Cyclical,162.671,154.5564,128.99415,True
FOX,29320624128.0,Communication Services,58.7166,56.220699999999994,52.83495,True
FOXA,33370607616.0,Communication Services,65.708,62.4851,58.046800000000005,True
FROG,7904267264.0,Technology,58.0662,52.64549999999999,45.47554999999999,True
FTAI,17771784192.0,Industrials,169.2868,164.42079999999999,138.62475,True
GEHC,38088568832.0,Healthcare,78.2038,76.2526,74.44525,True
GPCR,4011821056.0,Healthcare,41.0734,31.6505,26.3381,True
HST,12732499968.0,Real Estate,17.3304,17.0471,16.09575,True
HTHT,14942881792.0,Consumer Cyclical,43.8372,40.152,37.517450000000004,True
HUT,5704334336.0,Financial Services,43.9604,37.505700000000004,26.7933,True
ICLR,14026929152.0,Healthcare,175.6134,175.38050000000004,163.59905,True
ILMN,20676896768.0,Healthcare,120.0892,109.08619999999999,97.70559999999999,True
INDV,4514927104.0,Healthcare,31.4648,27.514300000000002,20.0392,True
JBHT,18886309888.0,Industrials,176.21560000000002,158.16089999999997,150.35315,True
KBWB,5682718208.0,Financial Services,79.163,77.7638,71.78135,True
KLAC,167786708992.0,Technology,1186.4674,1077.8359,931.3647500000001,True
KRYS,7286781952.0,Healthcare,212.63100000000003,184.9536,168.7622,True
LITE,27516604416.0,Technology,266.41380000000004,205.178,141.18970000000002,True
LRCX,222731796480.0,Technology,156.781,136.5667,110.0931,True
LSCC,10473745408.0,Technology,70.646,68.9713,59.794050000000006,True
MAR,84573749248.0,Consumer Cyclical,287.37100000000004,276.3341,265.81165,True
MDB,35446927360.0,Technology,367.4046,327.4176,260.75385,True
MKSI,10975214592.0,Technology,150.3338,132.2117,109.5857,True
