symbol,cap,sector,ma_50,ma_100,ma_200,spot_price_comparison
AAPL,4113145528320.0,Technology,262.63939999999997,242.9533,227.19190000000003,True
AAXJ,3121509632.0,Financial Services,92.883,89.48890000000002,82.98650000000002,True
ABVX,9430382592.0,Healthcare,98.0698,81.17190000000001,43.98339999999999,True
ACWI,23102197760.0,Financial Services,139.3392,135.922,128.1234,True
ACWX,6885644800.0,Financial Services,65.7488,64.0559,60.74935000000001,True
ADI,131178520576.0,Technology,239.3886,239.21630000000002,226.4416,True
ADSK,64763682816.0,Technology,306.628,303.8002,292.7189,True
AEIS,7971469824.0,Industrials,193.0,170.94549999999998,141.5893,True
AEP,66244616192.0,Utilities,117.5666,113.85969999999999,109.09725,True
AIRR,6107326464.0,Financial Services,96.73,92.9516,83.2467,True
AKRO,4474707456.0,Healthcare,51.9896,50.144800000000004,48.042049999999996,True
AMAT,201000845312.0,Technology,223.66740000000001,200.43219999999997,180.32335,True
AMGN,186023526400.0,Healthcare,306.3414,298.6793,295.6365,True
AMKR,8995368960.0,Technology,31.749200000000002,27.6428,23.4685,True
AMZN,2492607234048.0,Consumer Cyclical,227.5674,227.55990000000003,214.67835,True
APA,8857916416.0,Energy,23.7284,22.263,20.42945,True
ARGX,55782658048.0,Healthcare,828.5698000000001,745.3836,667.1928,True
ARQT,3753996288.0,Healthcare,22.674400000000002,19.1893,16.68905,True
ARWR,7286172672.0,Healthcare,38.60040000000001,29.7313,22.532449999999997,True
ASML,410826080256.0,Technology,1011.1194,884.6881000000001,803.7972500000001,True
ASND,12795370496.0,Healthcare,204.12720000000002,195.5093,178.19240000000002,True
ATAT,5313950720.0,Consumer Cyclical,38.0112,37.2442,33.2921,True
ATEC,3340771328.0,Healthcare,17.028599999999997,15.538499999999999,13.34635,True
AVGO,1895127449600.0,Technology,351.10760000000005,328.6539,271.3958,True
AXSM,7637514752.0,Healthcare,131.2926,121.9102,117.01060000000001,True
AZN,287481626624.0,Healthcare,84.2068,80.2777,76.03095,True
BBIO,13718738944.0,Healthcare,59.36820000000001,54.1858,45.1583,True
BIIB,26713016320.0,Healthcare,153.78119999999998,144.3455,137.37445000000002,True
BKR,49536049152.0,Energy,47.9304,45.89939999999999,42.8732,True
BND,373561589760.0,Financial Services,74.5194,74.0545,73.45485,True
BNDX,109353877504.0,Financial Services,49.601400000000005,49.4541,49.2754,True
BTSG,6521539072.0,Healthcare,31.348799999999997,27.0184,23.6246,True
CASY,21210423296.0,Consumer Cyclical,546.9097999999999,533.1786,490.58135000000004,True
CDTX,5575738880.0,Healthcare,123.3414,92.8313,58.9671,True
CELC,4679799808.0,Healthcare,68.84819999999999,55.096000000000004,33.0394,True
CHRW,18763728896.0,Industrials,139.8448,128.434,112.1681,True
CIBR,10645787648.0,Financial Services,75.7494,74.53569999999999,71.4012,True
CINF,26186004480.0,Financial Services,159.7118,155.7004,149.4588,True
CNTA,3902245888.0,Healthcare,24.396200000000004,20.868000000000002,17.3517,True
COCO,3037614592.0,Consumer Defensive,42.94559999999999,39.695499999999996,36.90975,True
COGT,5729444352.0,Healthcare,20.875999999999998,16.4369,11.36,True
COHR,25526396928.0,Technology,128.3736,113.9469,93.60189999999999,True
COKE,14177854464.0,Consumer Defensive,134.6196,125.3407,125.16070000000002,True
COLB,5991859712.0,Financial Services,26.248599999999996,25.790300000000002,24.935699999999997,True
COMM,4373371392.0,Technology,16.3272,14.706699999999998,10.09005,True
CRDO,30890725376.0,Technology,152.481,136.7774,97.60164999999999,True
CRNX,4323236352.0,Healthcare,42.1078,36.6767,34.350699999999996,True
CSCO,304273784832.0,Technology,71.5412,69.8373,66.03224999999999,True
CSX,65845161984.0,Industrials,35.2258,34.7314,32.6479,True
CVCO,4762263040.0,Consumer Cyclical,555.18,517.9606,501.17650000000003,True
CYTK,8105982976.0,Healthcare,59.87480000000001,50.225699999999996,44.105,True
DBX,8398953472.0,Technology,29.663200000000003,29.0061,28.466099999999997,True
DGRW,16459546624.0,Financial Services,88.8452,87.728,84.01684999999999,True
DVY,25130178560.0,Financial Services,140.7272,139.57319999999999,135.53825,True
EA,50387529728.0,Technology,197.72400000000002,180.9523,162.87,True
EMB,14978737152.0,Financial Services,95.84119999999999,94.68610000000001,92.57305000000001,True
EMXC,12894002176.0,Financial Services,70.12939999999999,67.2107,62.4971,True
ENSG,10671426560.0,Healthcare,179.105,169.14129999999997,153.1897,True
ESGU,15216479232.0,Financial Services,146.6994,143.2375,134.62135,True
