symbol,cap,sector,spot_price_comparison,ma_50,ma_100,ma_200
ADP,124046835712.0,Technology,True,304.02480041503907,301.1396008300781,283.6810506439209
AEP,57660026880.0,Utilities,True,103.15719940185546,98.97069976806641,97.95304988861083
ALHC,3542177792.0,Healthcare,True,15.460600051879883,13.782900018692017,11.755125033855439
ALKS,5276011008.0,Healthcare,True,33.46179985046387,31.40099992752075,29.031700010299684
ARCC,15161187328.0,Financial Services,True,22.760937995910645,22.32566905975342,21.609834508895872
ASND,8980225024.0,Healthcare,True,144.9299496459961,138.6368246459961,136.0310622406006
BBIO,6304765440.0,Healthcare,True,34.26450019836426,30.877400188446046,28.390800094604494
BECN,7645844480.0,Industrials,True,118.74119979858398,112.50639991760254,101.50124977111817
BHF,3339059200.0,Financial Services,True,57.581800079345705,53.626000213623044,49.40890007019043
BKR,43778424832.0,Energy,True,44.71959999084473,43.713200073242184,39.59080008506775
CACC,6227436032.0,Financial Services,True,501.54637451171874,484.93348724365234,483.47104354858396
CASY,15954925568.0,Consumer Cyclical,True,414.3667004394531,411.63765045166014,394.52967483520507
CCEP,40025575424.0,Consumer Defensive,True,83.00120010375977,79.94460014343262,78.24160022735596
CHKP,24756357120.0,Technology,True,218.53100036621095,200.82539993286133,192.30344970703126
CME,95054626816.0,Financial Services,True,250.6722006225586,241.53670028686523,225.9020500946045
COKE,11948851200.0,Consumer Defensive,True,1354.2291967773438,1307.5003942871094,1259.4773950195313
COOP,7853933056.0,Financial Services,True,106.687900390625,101.69575004577636,95.21022506713867
CSCO,244167540736.0,Technology,True,62.078999786376954,60.42029987335205,55.1843500328064
CSGP,33234925568.0,Real Estate,True,77.16970031738282,75.98124992370606,75.71077491760254
CVCO,4106338816.0,Consumer Cyclical,True,514.3325958251953,493.87819732666014,446.01224868774415
CWST,7090449920.0,Industrials,True,109.75379989624024,109.09669990539551,105.72399997711182
DOX,10191130624.0,Technology,True,88.0763996887207,87.26860000610351,85.91390014648438
EBAY,31371120640.0,Consumer Cyclical,True,67.09940002441407,65.23390003204345,62.03334991455078
ESGR,4945860608.0,Financial Services,True,330.50351379394533,327.5680563354492,324.64792907714843
ESLT,17376145408.0,Industrials,True,334.7878991699219,295.0797497558594,245.36777534484864
EVRG,15790392320.0,Utilities,True,66.41719993591309,64.40719982147216,61.293999881744384
EXC,46262169600.0,Utilities,True,42.70480010986328,40.35639999389648,39.14095008850098
EXEL,10030935040.0,Healthcare,True,35.752600021362305,35.407799949646,30.421199913024903
EXLS,7696502272.0,Technology,True,48.66400009155274,47.113000106811526,41.3340500831604
FOX,24390400000.0,Communication Services,True,50.44629974365235,47.61069999694824,41.91254990577698
FOXA,24402214912.0,Communication Services,True,53.87120002746582,50.63350006103516,44.85385004043579
FYBR,8951780352.0,Communication Services,True,35.823999938964846,35.32910003662109,33.13215000152588
GBDC,4028974080.0,Financial Services,True,15.3821000289917,15.319550008773804,15.255724992752075
GILD,138687594496.0,Healthcare,True,106.03269973754882,98.97754974365235,88.45427488327026
GLPI,13881814016.0,Real Estate,True,49.58650016784668,49.31725006103515,49.28942501068115
HEES,3482098432.0,Industrials,True,92.68059982299805,74.99699985504151,61.46459991455078
HTHT,11588659200.0,Consumer Cyclical,True,35.3847998046875,34.584399757385256,33.72889983177185
IDCC,5240948224.0,Technology,True,204.8993997192383,197.0279995727539,165.7412999725342
ITCI,14057175040.0,Healthcare,True,129.31370040893555,109.53184997558594,92.34832496643067
JD,63210913792.0,Consumer Cyclical,True,41.29199981689453,38.80734973907471,34.97162488937378
JKHY,13297997824.0,Technology,True,175.170400390625,175.14420059204102,173.6757504272461
LAUR,3109940480.0,Consumer Defensive,True,19.543800010681153,19.075100021362303,17.184600009918213
LNT,16448824320.0,Utilities,True,61.86659988403321,60.925000038146976,58.95225006103516
LOPE,5030143488.0,Consumer Defensive,True,175.67780059814453,170.19279983520508,155.7188998413086
MDGL,7152218624.0,Healthcare,True,333.52320068359376,324.83029998779296,287.3869499206543
MMSI,6165571584.0,Healthcare,True,104.29300033569336,102.74150016784668,97.19080017089844
NTES,68065013760.0,Communication Services,True,102.15639923095704,95.86659965515136,91.76254985809327
NWE,3557267712.0,Utilities,True,54.83759986877441,54.21769985198975,53.817049980163574
OLLI,6992414208.0,Consumer Defensive,True,106.27539962768554,104.87449966430664,100.26299980163574
OMAB,3898575104.0,Industrials,True,78.3934001159668,73.88160022735596,70.77520002365112
ORLY,81598849024.0,Consumer Cyclical,True,1329.5747021484376,1276.3651501464844,1196.1197271728515
PAA,14064963584.0,Energy,True,19.99889995574951,18.889749908447264,18.272275066375734
